Date-hour,Month,Day,Hour,G(h),Temperature
20180101:0000,01,01,00,0.0,12.81
20180101:0100,01,01,01,0.0,12.49
20180101:0200,01,01,02,0.0,12.17
20180101:0300,01,01,03,0.0,11.85
20180101:0400,01,01,04,0.0,11.52
20180101:0500,01,01,05,0.0,11.2
20180101:0600,01,01,06,0.0,10.88
20180101:0700,01,01,07,0.0,10.56
20180101:0800,01,01,08,0.0,8.6
20180101:0900,01,01,09,0.0,8.11
20180101:1000,01,01,10,73.55,7.9
20180101:1100,01,01,11,183.1,8.54
20180101:1200,01,01,12,338.2,9.42
20180101:1300,01,01,13,622.1,10.82
20180101:1400,01,01,14,493.45,12.55
20180101:1500,01,01,15,706.35,12.74
20180101:1600,01,01,16,731.75,13.5
20180101:1700,01,01,17,817.3,13.37
20180101:1800,01,01,18,684.0,13.96
20180101:1900,01,01,19,660.3,13.57
20180101:2000,01,01,20,467.35,14.38
20180101:2100,01,01,21,366.75,14.5
20180101:2200,01,01,22,168.25,14.75
20180101:2300,01,01,23,27.15,14.17
20180102:0000,01,02,00,0.0,13.03
20180102:0100,01,02,01,0.0,11.85
20180102:0200,01,02,02,0.0,11.0
20180102:0300,01,02,03,0.0,10.51
20180102:0400,01,02,04,0.0,10.01
20180102:0500,01,02,05,0.0,9.62
20180102:0600,01,02,06,0.0,9.11
20180102:0700,01,02,07,0.0,8.39
20180102:0800,01,02,08,0.0,7.61
20180102:0900,01,02,09,0.0,6.81
20180102:1000,01,02,10,139.8,6.22
20180102:1100,01,02,11,373.9,10.25
20180102:1200,01,02,12,611.8,14.36
20180102:1300,01,02,13,826.4,16.7
20180102:1400,01,02,14,981.6,18.42
20180102:1500,01,02,15,1039.4,19.47
20180102:1600,01,02,16,1122.8,20.42
20180102:1700,01,02,17,1051.25,21.57
20180102:1800,01,02,18,991.9,22.1
20180102:1900,01,02,19,794.65,22.08
20180102:2000,01,02,20,625.6,21.85
20180102:2100,01,02,21,426.4,21.49
20180102:2200,01,02,22,204.85,20.83
20180102:2300,01,02,23,27.5,19.52
20180103:0000,01,03,00,0.0,17.69
20180103:0100,01,03,01,0.0,15.9
20180103:0200,01,03,02,0.0,14.36
20180103:0300,01,03,03,0.0,13.37
20180103:0400,01,03,04,0.0,12.56
20180103:0500,01,03,05,0.0,11.78
20180103:0600,01,03,06,0.0,11.13
20180103:0700,01,03,07,0.0,10.98
20180103:0800,01,03,08,0.0,10.05
20180103:0900,01,03,09,0.0,9.6
20180103:1000,01,03,10,134.4,9.06
20180103:1100,01,03,11,366.3,11.13
20180103:1200,01,03,12,603.6,14.17
20180103:1300,01,03,13,816.8,16.16
20180103:1400,01,03,14,986.9,17.93
20180103:1500,01,03,15,1022.8,19.52
20180103:1600,01,03,16,1094.7,20.76
20180103:1700,01,03,17,1083.3,22.29
20180103:1800,01,03,18,1035.1,23.82
20180103:1900,01,03,19,862.15,25.17
20180103:2000,01,03,20,670.6,25.34
20180103:2100,01,03,21,406.2,24.85
20180103:2200,01,03,22,198.85,23.79
20180103:2300,01,03,23,28.45,22.44
20180104:0000,01,04,00,0.0,20.42
20180104:0100,01,04,01,0.0,18.32
20180104:0200,01,04,02,0.0,16.54
20180104:0300,01,04,03,0.0,15.5
20180104:0400,01,04,04,0.0,14.2
20180104:0500,01,04,05,0.0,12.97
20180104:0600,01,04,06,0.0,11.66
20180104:0700,01,04,07,0.0,11.44
20180104:0800,01,04,08,0.0,10.71
20180104:0900,01,04,09,0.0,10.1
20180104:1000,01,04,10,134.25,9.71
20180104:1100,01,04,11,368.95,13.55
20180104:1200,01,04,12,610.45,18.88
20180104:1300,01,04,13,825.5,21.34
20180104:1400,01,04,14,990.25,23.13
20180104:1500,01,04,15,1106.1,24.5
20180104:1600,01,04,16,1091.2,25.69
20180104:1700,01,04,17,1052.6,26.41
20180104:1800,01,04,18,888.65,27.0
20180104:1900,01,04,19,704.15,27.21
20180104:2000,01,04,20,619.05,26.71
20180104:2100,01,04,21,422.1,25.86
20180104:2200,01,04,22,193.7,24.4
20180104:2300,01,04,23,29.05,22.42
20180105:0000,01,05,00,0.0,20.31
20180105:0100,01,05,01,0.0,18.85
20180105:0200,01,05,02,0.0,17.63
20180105:0300,01,05,03,0.0,16.32
20180105:0400,01,05,04,0.0,15.06
20180105:0500,01,05,05,0.0,14.08
20180105:0600,01,05,06,0.0,13.26
20180105:0700,01,05,07,0.0,12.69
20180105:0800,01,05,08,0.0,12.73
20180105:0900,01,05,09,0.0,10.43
20180105:1000,01,05,10,135.1,8.38
20180105:1100,01,05,11,370.9,11.69
20180105:1200,01,05,12,609.75,16.15
20180105:1300,01,05,13,823.4,17.98
20180105:1400,01,05,14,993.1,19.38
20180105:1500,01,05,15,1103.45,20.86
20180105:1600,01,05,16,1130.25,22.4
20180105:1700,01,05,17,1047.05,23.6
20180105:1800,01,05,18,1018.8,24.34
20180105:1900,01,05,19,789.4,23.49
20180105:2000,01,05,20,461.35,22.47
20180105:2100,01,05,21,394.1,20.77
20180105:2200,01,05,22,178.25,19.8
20180105:2300,01,05,23,28.25,17.44
20180106:0000,01,06,00,0.0,15.07
20180106:0100,01,06,01,0.0,13.93
20180106:0200,01,06,02,0.0,13.18
20180106:0300,01,06,03,0.0,12.56
20180106:0400,01,06,04,0.0,11.84
20180106:0500,01,06,05,0.0,11.41
20180106:0600,01,06,06,0.0,11.32
20180106:0700,01,06,07,0.0,10.96
20180106:0800,01,06,08,0.0,10.52
20180106:0900,01,06,09,0.0,10.09
20180106:1000,01,06,10,66.85,9.99
20180106:1100,01,06,11,242.9,10.55
20180106:1200,01,06,12,410.55,11.69
20180106:1300,01,06,13,603.2,13.17
20180106:1400,01,06,14,784.15,14.81
20180106:1500,01,06,15,813.05,16.67
20180106:1600,01,06,16,862.9,17.96
20180106:1700,01,06,17,954.4,18.74
20180106:1800,01,06,18,841.8,19.49
20180106:1900,01,06,19,709.95,19.02
20180106:2000,01,06,20,465.1,18.53
20180106:2100,01,06,21,317.55,17.23
20180106:2200,01,06,22,165.8,16.08
20180106:2300,01,06,23,19.45,14.82
20180107:0000,01,07,00,0.0,13.92
20180107:0100,01,07,01,0.0,13.29
20180107:0200,01,07,02,0.0,12.63
20180107:0300,01,07,03,0.0,12.19
20180107:0400,01,07,04,0.0,11.65
20180107:0500,01,07,05,0.0,11.34
20180107:0600,01,07,06,0.0,10.94
20180107:0700,01,07,07,0.0,10.63
20180107:0800,01,07,08,0.0,10.39
20180107:0900,01,07,09,0.0,10.04
20180107:1000,01,07,10,119.95,9.83
20180107:1100,01,07,11,348.95,11.82
20180107:1200,01,07,12,545.05,13.93
20180107:1300,01,07,13,726.85,15.87
20180107:1400,01,07,14,928.15,17.64
20180107:1500,01,07,15,990.7,19.62
20180107:1600,01,07,16,1061.8,20.18
20180107:1700,01,07,17,881.4,20.85
20180107:1800,01,07,18,825.35,19.88
20180107:1900,01,07,19,484.55,19.8
20180107:2000,01,07,20,379.25,16.19
20180107:2100,01,07,21,205.95,16.61
20180107:2200,01,07,22,113.65,16.12
20180107:2300,01,07,23,11.7,13.48
20180108:0000,01,08,00,0.0,12.71
20180108:0100,01,08,01,0.0,12.24
20180108:0200,01,08,02,0.0,12.28
20180108:0300,01,08,03,0.0,12.27
20180108:0400,01,08,04,0.0,11.82
20180108:0500,01,08,05,0.0,11.36
20180108:0600,01,08,06,0.0,11.4
20180108:0700,01,08,07,0.0,10.8
20180108:0800,01,08,08,0.0,10.48
20180108:0900,01,08,09,0.0,10.32
20180108:1000,01,08,10,66.85,10.1
20180108:1100,01,08,11,214.25,10.57
20180108:1200,01,08,12,451.0,11.57
20180108:1300,01,08,13,677.45,13.29
20180108:1400,01,08,14,782.0,15.13
20180108:1500,01,08,15,949.6,16.46
20180108:1600,01,08,16,935.8,17.71
20180108:1700,01,08,17,684.3,17.81
20180108:1800,01,08,18,696.95,16.57
20180108:1900,01,08,19,474.05,16.08
20180108:2000,01,08,20,268.45,15.55
20180108:2100,01,08,21,222.55,14.93
20180108:2200,01,08,22,108.0,14.69
20180108:2300,01,08,23,13.3,12.39
20180109:0000,01,09,00,0.0,11.14
20180109:0100,01,09,01,0.0,10.82
20180109:0200,01,09,02,0.0,10.53
20180109:0300,01,09,03,0.0,10.41
20180109:0400,01,09,04,0.0,10.28
20180109:0500,01,09,05,0.0,10.09
20180109:0600,01,09,06,0.0,9.7
20180109:0700,01,09,07,0.0,9.64
20180109:0800,01,09,08,0.0,9.28
20180109:0900,01,09,09,0.0,8.87
20180109:1000,01,09,10,61.26,8.37
20180109:1100,01,09,11,335.2,10.35
20180109:1200,01,09,12,555.6,12.14
20180109:1300,01,09,13,686.4,13.98
20180109:1400,01,09,14,922.05,15.4
20180109:1500,01,09,15,838.0,16.14
20180109:1600,01,09,16,828.45,16.87
20180109:1700,01,09,17,812.6,17.07
20180109:1800,01,09,18,676.75,17.08
20180109:1900,01,09,19,457.0,15.56
20180109:2000,01,09,20,377.9,15.08
20180109:2100,01,09,21,256.9,15.17
20180109:2200,01,09,22,82.45,14.81
20180109:2300,01,09,23,15.5,12.35
20180110:0000,01,10,00,0.0,12.05
20180110:0100,01,10,01,0.0,11.8
20180110:0200,01,10,02,0.0,11.7
20180110:0300,01,10,03,0.0,11.22
20180110:0400,01,10,04,0.0,10.91
20180110:0500,01,10,05,0.0,10.88
20180110:0600,01,10,06,0.0,10.79
20180110:0700,01,10,07,0.0,10.32
20180110:0800,01,10,08,0.0,10.08
20180110:0900,01,10,09,0.0,9.93
20180110:1000,01,10,10,30.3,9.67
20180110:1100,01,10,11,263.75,10.94
20180110:1200,01,10,12,370.45,12.3
20180110:1300,01,10,13,696.6,13.16
20180110:1400,01,10,14,843.0,14.92
20180110:1500,01,10,15,906.05,16.34
20180110:1600,01,10,16,998.45,17.11
20180110:1700,01,10,17,942.65,17.87
20180110:1800,01,10,18,755.35,18.29
20180110:1900,01,10,19,577.45,18.73
20180110:2000,01,10,20,444.25,17.0
20180110:2100,01,10,21,240.1,16.57
20180110:2200,01,10,22,112.5,15.37
20180110:2300,01,10,23,20.05,14.35
20180111:0000,01,11,00,0.0,13.45
20180111:0100,01,11,01,0.0,12.59
20180111:0200,01,11,02,0.0,11.94
20180111:0300,01,11,03,0.0,11.43
20180111:0400,01,11,04,0.0,11.02
20180111:0500,01,11,05,0.0,11.12
20180111:0600,01,11,06,0.0,11.12
20180111:0700,01,11,07,0.0,11.2
20180111:0800,01,11,08,0.0,11.12
20180111:0900,01,11,09,0.0,10.88
20180111:1000,01,11,10,30.8,11.03
20180111:1100,01,11,11,314.3,12.17
20180111:1200,01,11,12,556.05,13.81
20180111:1300,01,11,13,688.95,15.29
20180111:1400,01,11,14,849.95,16.66
20180111:1500,01,11,15,810.1,17.77
20180111:1600,01,11,16,1004.3,18.4
20180111:1700,01,11,17,1062.95,19.55
20180111:1800,01,11,18,898.45,20.14
20180111:1900,01,11,19,554.55,19.21
20180111:2000,01,11,20,479.65,18.12
20180111:2100,01,11,21,258.75,16.78
20180111:2200,01,11,22,149.4,16.07
20180111:2300,01,11,23,20.8,16.02
20180112:0000,01,12,00,0.0,15.54
20180112:0100,01,12,01,0.0,14.36
20180112:0200,01,12,02,0.0,13.94
20180112:0300,01,12,03,0.0,12.25
20180112:0400,01,12,04,0.0,12.07
20180112:0500,01,12,05,0.0,11.74
20180112:0600,01,12,06,0.0,11.61
20180112:0700,01,12,07,0.0,12.73
20180112:0800,01,12,08,0.0,12.34
20180112:0900,01,12,09,0.0,11.82
20180112:1000,01,12,10,28.7,11.56
20180112:1100,01,12,11,316.2,13.01
20180112:1200,01,12,12,522.3,15.17
20180112:1300,01,12,13,772.2,16.67
20180112:1400,01,12,14,936.05,18.31
20180112:1500,01,12,15,1042.9,19.71
20180112:1600,01,12,16,1013.05,20.8
20180112:1700,01,12,17,954.85,21.39
20180112:1800,01,12,18,779.35,21.59
20180112:1900,01,12,19,670.4,19.18
20180112:2000,01,12,20,192.2,18.13
20180112:2100,01,12,21,141.65,17.27
20180112:2200,01,12,22,80.0,17.21
20180112:2300,01,12,23,13.1,16.56
20180113:0000,01,13,00,0.0,15.62
20180113:0100,01,13,01,0.0,14.9
20180113:0200,01,13,02,0.0,14.13
20180113:0300,01,13,03,0.0,13.81
20180113:0400,01,13,04,0.0,13.03
20180113:0500,01,13,05,0.0,11.63
20180113:0600,01,13,06,0.0,11.04
20180113:0700,01,13,07,0.0,11.61
20180113:0800,01,13,08,0.0,11.53
20180113:0900,01,13,09,0.0,11.33
20180113:1000,01,13,10,27.4,11.04
20180113:1100,01,13,11,82.1,10.79
20180113:1200,01,13,12,62.15,11.33
20180113:1300,01,13,13,73.5,10.82
20180113:1400,01,13,14,189.65,10.51
20180113:1500,01,13,15,289.0,10.87
20180113:1600,01,13,16,370.35,11.42
20180113:1700,01,13,17,347.5,12.26
20180113:1800,01,13,18,378.55,12.36
20180113:1900,01,13,19,305.9,12.14
20180113:2000,01,13,20,384.05,11.38
20180113:2100,01,13,21,146.55,11.91
20180113:2200,01,13,22,107.7,10.89
20180113:2300,01,13,23,19.2,9.91
20180114:0000,01,14,00,0.0,9.07
20180114:0100,01,14,01,0.0,8.82
20180114:0200,01,14,02,0.0,8.62
20180114:0300,01,14,03,0.0,8.46
20180114:0400,01,14,04,0.0,8.22
20180114:0500,01,14,05,0.0,7.97
20180114:0600,01,14,06,0.0,7.67
20180114:0700,01,14,07,0.0,6.57
20180114:0800,01,14,08,0.0,6.27
20180114:0900,01,14,09,0.0,5.94
20180114:1000,01,14,10,32.6,5.78
20180114:1100,01,14,11,312.8,6.99
20180114:1200,01,14,12,550.25,9.12
20180114:1300,01,14,13,687.35,10.99
20180114:1400,01,14,14,916.1,12.45
20180114:1500,01,14,15,929.85,13.66
20180114:1600,01,14,16,932.5,14.37
20180114:1700,01,14,17,954.1,14.5
20180114:1800,01,14,18,887.15,14.7
20180114:1900,01,14,19,798.1,15.24
20180114:2000,01,14,20,610.55,14.94
20180114:2100,01,14,21,365.95,14.9
20180114:2200,01,14,22,197.0,14.24
20180114:2300,01,14,23,24.75,12.99
20180115:0000,01,15,00,0.0,11.85
20180115:0100,01,15,01,0.0,10.86
20180115:0200,01,15,02,0.0,10.34
20180115:0300,01,15,03,0.0,10.05
20180115:0400,01,15,04,0.0,9.65
20180115:0500,01,15,05,0.0,9.08
20180115:0600,01,15,06,0.0,9.14
20180115:0700,01,15,07,0.0,8.73
20180115:0800,01,15,08,0.0,8.58
20180115:0900,01,15,09,0.0,8.3
20180115:1000,01,15,10,37.45,8.36
20180115:1100,01,15,11,235.8,8.97
20180115:1200,01,15,12,444.7,10.35
20180115:1300,01,15,13,584.4,12.22
20180115:1400,01,15,14,818.6,13.79
20180115:1500,01,15,15,957.55,15.53
20180115:1600,01,15,16,991.9,16.63
20180115:1700,01,15,17,1019.9,16.72
20180115:1800,01,15,18,921.2,17.14
20180115:1900,01,15,19,650.4,16.72
20180115:2000,01,15,20,601.4,15.97
20180115:2100,01,15,21,334.0,16.2
20180115:2200,01,15,22,123.1,15.74
20180115:2300,01,15,23,20.15,13.72
20180116:0000,01,16,00,0.0,12.3
20180116:0100,01,16,01,0.0,11.52
20180116:0200,01,16,02,0.0,11.22
20180116:0300,01,16,03,0.0,10.8
20180116:0400,01,16,04,0.0,10.39
20180116:0500,01,16,05,0.0,10.01
20180116:0600,01,16,06,0.0,10.02
20180116:0700,01,16,07,0.0,8.91
20180116:0800,01,16,08,0.0,8.82
20180116:0900,01,16,09,0.0,9.26
20180116:1000,01,16,10,21.65,9.26
20180116:1100,01,16,11,174.05,9.88
20180116:1200,01,16,12,278.6,11.02
20180116:1300,01,16,13,426.45,11.92
20180116:1400,01,16,14,451.9,12.85
20180116:1500,01,16,15,727.4,13.03
20180116:1600,01,16,16,973.45,14.32
20180116:1700,01,16,17,853.85,15.28
20180116:1800,01,16,18,731.25,15.64
20180116:1900,01,16,19,793.8,14.46
20180116:2000,01,16,20,479.05,15.05
20180116:2100,01,16,21,295.45,14.96
20180116:2200,01,16,22,119.3,14.02
20180116:2300,01,16,23,11.85,12.81
20180117:0000,01,17,00,0.0,11.14
20180117:0100,01,17,01,0.0,10.5
20180117:0200,01,17,02,0.0,10.2
20180117:0300,01,17,03,0.0,10.02
20180117:0400,01,17,04,0.0,9.72
20180117:0500,01,17,05,0.0,9.6
20180117:0600,01,17,06,0.0,9.49
20180117:0700,01,17,07,0.0,8.78
20180117:0800,01,17,08,0.0,8.49
20180117:0900,01,17,09,0.0,8.06
20180117:1000,01,17,10,27.15,7.75
20180117:1100,01,17,11,187.35,8.2
20180117:1200,01,17,12,323.45,9.33
20180117:1300,01,17,13,490.6,10.62
20180117:1400,01,17,14,727.75,11.99
20180117:1500,01,17,15,705.35,13.37
20180117:1600,01,17,16,999.05,13.91
20180117:1700,01,17,17,1025.2,15.12
20180117:1800,01,17,18,876.35,15.07
20180117:1900,01,17,19,698.55,15.09
20180117:2000,01,17,20,539.7,14.87
20180117:2100,01,17,21,364.3,14.56
20180117:2200,01,17,22,156.05,13.93
20180117:2300,01,17,23,21.6,13.07
20180118:0000,01,18,00,0.0,11.92
20180118:0100,01,18,01,0.0,10.63
20180118:0200,01,18,02,0.0,9.78
20180118:0300,01,18,03,0.0,9.26
20180118:0400,01,18,04,0.0,8.7
20180118:0500,01,18,05,0.0,8.27
20180118:0600,01,18,06,0.0,7.93
20180118:0700,01,18,07,0.0,7.76
20180118:0800,01,18,08,0.0,7.8
20180118:0900,01,18,09,0.0,8.02
20180118:1000,01,18,10,21.7,8.28
20180118:1100,01,18,11,156.4,9.47
20180118:1200,01,18,12,387.6,10.55
20180118:1300,01,18,13,489.8,11.65
20180118:1400,01,18,14,766.5,12.35
20180118:1500,01,18,15,845.5,13.23
20180118:1600,01,18,16,753.45,13.77
20180118:1700,01,18,17,836.85,14.0
20180118:1800,01,18,18,827.1,14.75
20180118:1900,01,18,19,623.2,15.75
20180118:2000,01,18,20,448.1,14.51
20180118:2100,01,18,21,290.8,14.3
20180118:2200,01,18,22,176.3,13.5
20180118:2300,01,18,23,17.65,12.64
20180119:0000,01,19,00,0.0,11.91
20180119:0100,01,19,01,0.0,10.98
20180119:0200,01,19,02,0.0,10.25
20180119:0300,01,19,03,0.0,9.34
20180119:0400,01,19,04,0.0,8.95
20180119:0500,01,19,05,0.0,8.62
20180119:0600,01,19,06,0.0,8.11
20180119:0700,01,19,07,0.0,8.24
20180119:0800,01,19,08,0.0,7.86
20180119:0900,01,19,09,0.0,7.7
20180119:1000,01,19,10,26.05,7.38
20180119:1100,01,19,11,253.6,8.44
20180119:1200,01,19,12,407.35,10.27
20180119:1300,01,19,13,656.5,11.44
20180119:1400,01,19,14,770.35,12.64
20180119:1500,01,19,15,921.25,13.38
20180119:1600,01,19,16,748.75,14.48
20180119:1700,01,19,17,887.45,14.92
20180119:1800,01,19,18,656.6,15.3
20180119:1900,01,19,19,600.95,14.85
20180119:2000,01,19,20,378.65,14.74
20180119:2100,01,19,21,229.85,14.39
20180119:2200,01,19,22,137.95,11.56
20180119:2300,01,19,23,12.3,10.64
20180120:0000,01,20,00,0.0,9.76
20180120:0100,01,20,01,0.0,9.46
20180120:0200,01,20,02,0.0,9.07
20180120:0300,01,20,03,0.0,9.01
20180120:0400,01,20,04,0.0,8.72
20180120:0500,01,20,05,0.0,8.67
20180120:0600,01,20,06,0.0,8.36
20180120:0700,01,20,07,0.0,7.26
20180120:0800,01,20,08,0.0,7.08
20180120:0900,01,20,09,0.0,7.1
20180120:1000,01,20,10,43.25,6.95
20180120:1100,01,20,11,239.35,7.52
20180120:1200,01,20,12,530.85,9.42
20180120:1300,01,20,13,760.75,11.54
20180120:1400,01,20,14,925.55,13.57
20180120:1500,01,20,15,1046.2,15.21
20180120:1600,01,20,16,1136.1,16.16
20180120:1700,01,20,17,956.0,16.49
20180120:1800,01,20,18,834.9,16.65
20180120:1900,01,20,19,657.0,16.58
20180120:2000,01,20,20,436.95,14.98
20180120:2100,01,20,21,196.2,14.21
20180120:2200,01,20,22,134.4,12.8
20180120:2300,01,20,23,17.4,12.42
20180121:0000,01,21,00,0.0,11.61
20180121:0100,01,21,01,0.0,10.96
20180121:0200,01,21,02,0.0,10.45
20180121:0300,01,21,03,0.0,10.06
20180121:0400,01,21,04,0.0,9.46
20180121:0500,01,21,05,0.0,8.64
20180121:0600,01,21,06,0.0,8.3
20180121:0700,01,21,07,0.0,7.78
20180121:0800,01,21,08,0.0,7.68
20180121:0900,01,21,09,0.0,7.43
20180121:1000,01,21,10,30.05,6.96
20180121:1100,01,21,11,264.45,8.44
20180121:1200,01,21,12,488.05,11.58
20180121:1300,01,21,13,710.25,13.32
20180121:1400,01,21,14,877.8,14.88
20180121:1500,01,21,15,829.95,16.13
20180121:1600,01,21,16,953.25,16.7
20180121:1700,01,21,17,1010.7,17.42
20180121:1800,01,21,18,963.35,18.12
20180121:1900,01,21,19,818.65,18.1
20180121:2000,01,21,20,594.05,18.49
20180121:2100,01,21,21,336.5,17.95
20180121:2200,01,21,22,110.15,16.29
20180121:2300,01,21,23,17.5,14.42
20180122:0000,01,22,00,0.0,12.72
20180122:0100,01,22,01,0.0,11.57
20180122:0200,01,22,02,0.0,10.71
20180122:0300,01,22,03,0.0,9.8
20180122:0400,01,22,04,0.0,9.29
20180122:0500,01,22,05,0.0,8.44
20180122:0600,01,22,06,0.0,8.12
20180122:0700,01,22,07,0.0,7.61
20180122:0800,01,22,08,0.0,7.03
20180122:0900,01,22,09,0.0,6.26
20180122:1000,01,22,10,24.1,5.63
20180122:1100,01,22,11,310.05,7.51
20180122:1200,01,22,12,549.15,11.73
20180122:1300,01,22,13,741.8,13.61
20180122:1400,01,22,14,943.6,15.09
20180122:1500,01,22,15,1071.1,16.65
20180122:1600,01,22,16,1106.05,17.9
20180122:1700,01,22,17,1101.35,18.32
20180122:1800,01,22,18,944.45,18.98
20180122:1900,01,22,19,854.2,18.74
20180122:2000,01,22,20,588.1,19.64
20180122:2100,01,22,21,318.8,19.64
20180122:2200,01,22,22,167.2,18.48
20180122:2300,01,22,23,24.45,17.45
20180123:0000,01,23,00,0.0,16.05
20180123:0100,01,23,01,0.0,13.92
20180123:0200,01,23,02,0.0,11.91
20180123:0300,01,23,03,0.0,10.77
20180123:0400,01,23,04,0.0,9.83
20180123:0500,01,23,05,0.0,8.95
20180123:0600,01,23,06,0.0,8.25
20180123:0700,01,23,07,0.0,7.47
20180123:0800,01,23,08,0.0,7.04
20180123:0900,01,23,09,0.0,6.62
20180123:1000,01,23,10,25.55,6.16
20180123:1100,01,23,11,299.7,7.99
20180123:1200,01,23,12,545.15,12.92
20180123:1300,01,23,13,740.65,15.08
20180123:1400,01,23,14,911.1,16.55
20180123:1500,01,23,15,1050.35,17.84
20180123:1600,01,23,16,1075.45,18.84
20180123:1700,01,23,17,1079.7,18.89
20180123:1800,01,23,18,972.2,19.43
20180123:1900,01,23,19,774.15,20.06
20180123:2000,01,23,20,591.25,19.97
20180123:2100,01,23,21,392.8,19.94
20180123:2200,01,23,22,203.25,19.41
20180123:2300,01,23,23,21.85,18.07
20180124:0000,01,24,00,0.0,15.76
20180124:0100,01,24,01,0.0,13.76
20180124:0200,01,24,02,0.0,12.55
20180124:0300,01,24,03,0.0,11.56
20180124:0400,01,24,04,0.0,11.0
20180124:0500,01,24,05,0.0,10.63
20180124:0600,01,24,06,0.0,10.22
20180124:0700,01,24,07,0.0,9.35
20180124:0800,01,24,08,0.0,8.89
20180124:0900,01,24,09,0.0,8.57
20180124:1000,01,24,10,0.0,8.5
20180124:1100,01,24,11,180.5,8.86
20180124:1200,01,24,12,339.15,10.05
20180124:1300,01,24,13,498.1,11.46
20180124:1400,01,24,14,612.25,12.57
20180124:1500,01,24,15,712.05,13.42
20180124:1600,01,24,16,805.95,14.46
20180124:1700,01,24,17,1048.5,14.94
20180124:1800,01,24,18,740.6,15.46
20180124:1900,01,24,19,635.25,15.02
20180124:2000,01,24,20,343.15,14.88
20180124:2100,01,24,21,340.4,14.13
20180124:2200,01,24,22,102.65,13.12
20180124:2300,01,24,23,16.15,11.68
20180125:0000,01,25,00,0.0,10.91
20180125:0100,01,25,01,0.0,10.49
20180125:0200,01,25,02,0.0,10.23
20180125:0300,01,25,03,0.0,9.98
20180125:0400,01,25,04,0.0,9.75
20180125:0500,01,25,05,0.0,9.66
20180125:0600,01,25,06,0.0,9.47
20180125:0700,01,25,07,0.0,9.09
20180125:0800,01,25,08,0.0,8.83
20180125:0900,01,25,09,0.0,8.72
20180125:1000,01,25,10,0.0,8.54
20180125:1100,01,25,11,184.85,9.04
20180125:1200,01,25,12,377.7,10.44
20180125:1300,01,25,13,523.3,12.25
20180125:1400,01,25,14,708.75,13.94
20180125:1500,01,25,15,849.55,15.28
20180125:1600,01,25,16,1007.3,16.28
20180125:1700,01,25,17,749.35,17.02
20180125:1800,01,25,18,805.8,16.69
20180125:1900,01,25,19,671.9,16.76
20180125:2000,01,25,20,509.35,17.11
20180125:2100,01,25,21,323.6,16.51
20180125:2200,01,25,22,161.5,15.43
20180125:2300,01,25,23,14.85,14.36
20180126:0000,01,26,00,0.0,13.02
20180126:0100,01,26,01,0.0,12.16
20180126:0200,01,26,02,0.0,11.32
20180126:0300,01,26,03,0.0,11.08
20180126:0400,01,26,04,0.0,10.65
20180126:0500,01,26,05,0.0,10.48
20180126:0600,01,26,06,0.0,10.09
20180126:0700,01,26,07,0.0,9.56
20180126:0800,01,26,08,0.0,9.46
20180126:0900,01,26,09,0.0,9.33
20180126:1000,01,26,10,0.0,9.14
20180126:1100,01,26,11,148.2,9.88
20180126:1200,01,26,12,356.7,11.46
20180126:1300,01,26,13,464.3,13.61
20180126:1400,01,26,14,571.6,14.78
20180126:1500,01,26,15,711.9,15.84
20180126:1600,01,26,16,845.5,17.04
20180126:1700,01,26,17,831.3,18.12
20180126:1800,01,26,18,902.0,18.02
20180126:1900,01,26,19,795.9,19.61
20180126:2000,01,26,20,560.2,19.7
20180126:2100,01,26,21,383.4,19.26
20180126:2200,01,26,22,181.4,18.48
20180126:2300,01,26,23,21.7,17.58
20180127:0000,01,27,00,0.0,15.91
20180127:0100,01,27,01,0.0,14.29
20180127:0200,01,27,02,0.0,13.21
20180127:0300,01,27,03,0.0,12.51
20180127:0400,01,27,04,0.0,11.65
20180127:0500,01,27,05,0.0,10.95
20180127:0600,01,27,06,0.0,9.91
20180127:0700,01,27,07,0.0,8.86
20180127:0800,01,27,08,0.0,8.51
20180127:0900,01,27,09,0.0,8.15
20180127:1000,01,27,10,0.0,8.07
20180127:1100,01,27,11,263.2,9.89
20180127:1200,01,27,12,494.05,13.02
20180127:1300,01,27,13,697.25,15.29
20180127:1400,01,27,14,822.65,16.8
20180127:1500,01,27,15,979.25,17.84
20180127:1600,01,27,16,913.7,18.79
20180127:1700,01,27,17,892.25,19.19
20180127:1800,01,27,18,846.25,19.22
20180127:1900,01,27,19,774.55,17.7
20180127:2000,01,27,20,552.75,17.57
20180127:2100,01,27,21,391.2,17.11
20180127:2200,01,27,22,166.65,16.79
20180127:2300,01,27,23,17.05,15.94
20180128:0000,01,28,00,0.0,14.22
20180128:0100,01,28,01,0.0,13.0
20180128:0200,01,28,02,0.0,12.27
20180128:0300,01,28,03,0.0,11.91
20180128:0400,01,28,04,0.0,11.76
20180128:0500,01,28,05,0.0,11.51
20180128:0600,01,28,06,0.0,11.04
20180128:0700,01,28,07,0.0,11.1
20180128:0800,01,28,08,0.0,10.89
20180128:0900,01,28,09,0.0,10.68
20180128:1000,01,28,10,0.0,10.51
20180128:1100,01,28,11,86.35,10.48
20180128:1200,01,28,12,206.35,10.83
20180128:1300,01,28,13,244.25,12.32
20180128:1400,01,28,14,269.55,12.42
